text,target,keywords_sorted,keywords_indices,keywords_count
"['are', 'there', 'biodegradable', 'products', 'for', 'the', 'disposal', 'of', 'dog', 'waste']","['are', 'there', '<KEYWORD>', 'biodegradable', '<KEYWORD>', '<KEYWORD>', 'products', '<KEYWORD>', 'for', 'the', '<KEYWORD>', 'disposal', '<KEYWORD>', 'of', '<KEYWORD>', 'dog', '<KEYWORD>', 'waste']","['biodegradable', 'products', 'disposal', 'dog']","[2, 3, 6, 8]",4
"['are', 'there', 'discounted', 'packages', 'for', 'staying', 'at', 'french', 'lick', 'resort', 'and', 'casino']","['are', 'there', '<KEYWORD>', 'discounted', '<KEYWORD>', 'packages', 'for', '<KEYWORD>', 'staying', '<KEYWORD>', 'at', 'french', '<KEYWORD>', 'lick', '<KEYWORD>', 'resort', 'and', '<KEYWORD>', 'casino', '<KEYWORD>']","['discounted', 'staying', 'lick', 'casino']","[2, 5, 8, 11]",4
"['are', 'there', 'good', 'home', 'remedies', 'for', 'elbow', 'pain']","['are', 'there', '<KEYWORD>', 'good', '<KEYWORD>', '<KEYWORD>', 'home', '<KEYWORD>', '<KEYWORD>', 'remedies', '<KEYWORD>', 'for', 'elbow', '<KEYWORD>', 'pain', '<KEYWORD>']","['good', 'home', 'remedies', 'pain']","[2, 3, 4, 7]",4
"['are', 'tickets', 'available', 'online', 'to', 'view', 'da', 'vinci', 's', 'last', 'supper', 'in', 'milan', 'italy']","['are', '<KEYWORD>', 'tickets', '<KEYWORD>', 'available', 'online', 'to', 'view', 'da', 'vinci', 's', 'last', '<KEYWORD>', 'supper', '<KEYWORD>', 'in', '<KEYWORD>', 'milan', '<KEYWORD>', 'italy']","['tickets', 'supper', 'milan']","[1, 10, 12]",3
"['can', 'i', 'grow', 'a', 'kiwi', 'fruit', 'tree']","['can', 'i', '<KEYWORD>', 'grow', '<KEYWORD>', 'a', '<KEYWORD>', 'kiwi', '<KEYWORD>', '<KEYWORD>', 'fruit', '<KEYWORD>', 'tree']","['grow', 'kiwi', 'fruit']","[2, 4, 5]",3
"['can', 'i', 'order', 'dog', 'clean', 'up', 'bags', 'online']","['can', 'i', '<KEYWORD>', 'order', '<KEYWORD>', '<KEYWORD>', 'dog', '<KEYWORD>', 'clean', 'up', '<KEYWORD>', 'bags', '<KEYWORD>', '<KEYWORD>', 'online', '<KEYWORD>']","['order', 'dog', 'bags', 'online']","[2, 3, 6, 7]",4
"['can', 'you', 'quit', 'smoking', 'using', 'the', 'cold', 'turkey', 'method']","['can', 'you', '<KEYWORD>', 'quit', '<KEYWORD>', '<KEYWORD>', 'smoking', '<KEYWORD>', '<KEYWORD>', 'using', '<KEYWORD>', 'the', '<KEYWORD>', 'cold', '<KEYWORD>', 'turkey', 'method']","['quit', 'smoking', 'using', 'cold']","[2, 3, 4, 6]",4
"['do', 'any', 'internet', 'providers', 'still', 'sell', 'dial', 'up']","['do', 'any', '<KEYWORD>', 'internet', '<KEYWORD>', 'providers', '<KEYWORD>', 'still', '<KEYWORD>', 'sell', 'dial', 'up']","['internet', 'still']","[2, 4]",2
"['do', 'the', 'signs', 'of', 'a', 'heart', 'attack', 'differ', 'between', 'men', 'and', 'women']","['do', 'the', '<KEYWORD>', 'signs', '<KEYWORD>', 'of', 'a', 'heart', '<KEYWORD>', 'attack', '<KEYWORD>', '<KEYWORD>', 'differ', '<KEYWORD>', 'between', 'men', 'and', '<KEYWORD>', 'women', '<KEYWORD>']","['signs', 'attack', 'differ', 'women']","[2, 6, 7, 11]",4
"['does', 'the', 'federal', 'wage', 'system', 'affect', 'the', 'general', 'schedule']","['does', 'the', '<KEYWORD>', 'federal', '<KEYWORD>', '<KEYWORD>', 'wage', '<KEYWORD>', 'system', 'affect', 'the', '<KEYWORD>', 'general', '<KEYWORD>', 'schedule']","['federal', 'wage', 'general']","[2, 3, 7]",3
